"start_station_latitude","start_station_longitude","start_position","Weight"
"40.70767788","-73.94016171","40.70767788,-73.94016171","3291"
"40.70934","-73.95608","40.70934,-73.95608","1066"
"40.71247661","-73.94100005","40.71247661,-73.94100005","2299"
"40.71260486","-73.96264403","40.71260486,-73.96264403","9298"
"40.71307916","-73.99851193","40.71307916,-73.99851193","16639"
"40.71534825","-73.96024116","40.71534825,-73.96024116","17872"
"40.71602118","-73.99974372","40.71602118,-73.99974372","26164"
"40.71926081","-73.98178024","40.71926081,-73.98178024","7481"
"40.72057658","-73.96150225","40.72057658,-73.96150225","10609"
"40.72066442","-73.98517977","40.72066442,-73.98517977","35854"
"40.72362738","-73.99949601","40.72362738,-73.99949601","26314"
"40.72456089","-73.99565293","40.72456089,-73.99565293","60945"
"40.72710258","-74.00297088","40.72710258,-74.00297088","43468"
"40.728846","-74.008591","40.728846,-74.008591","27691"
"40.73331967","-73.99510132","40.73331967,-73.99510132","29975"
"40.73524276","-73.98758561","40.73524276,-73.98758561","33659"
"40.73704984","-73.99009296","40.73704984,-73.99009296","86108"
"40.73781509","-73.99994661","40.73781509,-73.99994661","34319"
"40.74144387","-73.97536082","40.74144387,-73.97536082","38597"
"40.74317449","-74.00366443","40.74317449,-74.00366443","34089"
"40.74334935","-74.00681753","40.74334935,-74.00681753","26310"
"40.74345335","-74.00004031","40.74345335,-74.00004031","36134"
"40.74395411","-73.99144871","40.74395411,-73.99144871","41850"
"40.744023","-73.976056","40.744023,-73.976056","44759"
"40.7454973","-74.00197139","40.7454973,-74.00197139","47922"
"40.74780373","-73.9734419","40.74780373,-73.9734419","47852"
"40.74971775","-74.00295035","40.74971775,-74.00295035","6638"
"40.75038009","-73.98338988","40.75038009,-73.98338988","28469"
"40.75052534","-73.94594845","40.75052534,-73.94594845","575"
"40.752165280621966","-73.97992193698882","40.752165280621966,-73.97992193698882","5806"
"40.75466591","-73.99138152","40.75466591,-73.99138152","53143"
"40.756014","-73.967416","40.756014,-73.967416","20788"
"40.75929124","-73.98859651","40.75929124,-73.98859651","33251"
"40.7606597","-73.98042047","40.7606597,-73.98042047","32126"
"40.76341379","-73.99667444","40.76341379,-73.99667444","23190"
"40.76370739","-73.9851615","40.76370739,-73.9851615","36228"
"40.76650452","-73.97147595","40.76650452,-73.97147595","6996"
"40.77163851","-73.98261428","40.77163851,-73.98261428","11043"
"40.77314236","-73.95856158","40.77314236,-73.95856158","2063"
"40.77579376683666","-73.9762057363987","40.77579376683666,-73.9762057363987","6891"
"40.78057799010334","-73.98562431335449","40.78057799010334,-73.98562431335449","4840"
"40.78472675","-73.96961715","40.78472675,-73.96961715","8870"
"40.6800105","-73.938475","40.6800105,-73.938475","536"
"40.68034242","-73.95576894","40.68034242,-73.95576894","998"
"40.68691865","-73.976682","40.68691865,-73.976682","8236"
"40.686931","-74.016966","40.686931,-74.016966","2158"
"40.68753406","-73.97265183","40.68753406,-73.97265183","7904"
"40.68851534","-73.9647628","40.68851534,-73.9647628","5810"
"40.68981035","-73.97493121","40.68981035,-73.97493121","7847"
"40.69165183","-73.9999786","40.69165183,-73.9999786","10939"
"40.69236178","-73.98631746","40.69236178,-73.98631746","13516"
"40.692609","-74.016398","40.692609,-74.016398","2380"
"40.6933982","-73.939877","40.6933982,-73.939877","522"
"40.69474881","-73.98362464","40.69474881,-73.98362464","10735"
"40.69608941","-73.97803415","40.69608941,-73.97803415","1858"
"40.69610226","-73.96751037","40.69610226,-73.96751037","9210"
"40.698617","-73.941342","40.698617,-73.941342","519"
"40.70037867","-73.99548059","40.70037867,-73.99548059","6256"
"40.70277159","-73.99383605","40.70277159,-73.99383605","19412"
"40.70281858","-73.98765762","40.70281858,-73.98765762","10166"
"40.70411791","-73.94818595","40.70411791,-73.94818595","1150"
"40.70530954","-74.00612572","40.70530954,-74.00612572","17725"
"40.70569254","-74.01677685","40.70569254,-74.01677685","29600"
"40.70583339","-73.94644578","40.70583339,-73.94644578","1077"
"40.70834698","-74.01713445","40.70834698,-74.01713445","35132"
"40.70870368","-73.9448625","40.70870368,-73.9448625","1658"
"40.71117416","-74.00016545","40.71117416,-74.00016545","9883"
"40.71413311","-73.95234386","40.71413311,-73.95234386","4096"
"40.71427487","-73.98990025","40.71427487,-73.98990025","34814"
"40.71469","-73.95739","40.71469,-73.95739","1962"
"40.715143","-73.944507","40.715143,-73.944507","5182"
"40.71910537","-73.99973337","40.71910537,-73.99973337","30061"
"40.71929301","-73.94500379","40.71929301,-73.94500379","1326"
"40.71939226","-74.00247214","40.71939226,-74.00247214","26696"
"40.72079821","-73.95484712","40.72079821,-73.95484712","4091"
"40.72217444","-73.98368779","40.72217444,-73.98368779","35948"
"40.72243797","-74.00566443","40.72243797,-74.00566443","22811"
"40.72311651","-73.95212324","40.72311651,-73.95212324","6229"
"40.72453734","-73.98185424","40.72453734,-73.98185424","27481"
"40.72490985","-74.00154702","40.72490985,-74.00154702","42106"
"40.72521311","-73.97768752","40.72521311,-73.97768752","24496"
"40.72679454","-73.99695094","40.72679454,-73.99695094","46300"
"40.7284186","-73.98713956","40.7284186,-73.98713956","43164"
"40.72917025","-73.99810231","40.72917025,-73.99810231","42370"
"40.73028666","-73.9907647","40.73028666,-73.9907647","95890"
"40.733812191966315","-73.98054420948029","40.733812191966315,-73.98054420948029","21902"
"40.73416059","-73.98024289","40.73416059,-73.98024289","839"
"40.73532427","-73.99800419","40.73532427,-73.99800419","20819"
"40.73587678","-73.98205027","40.73587678,-73.98205027","43001"
"40.7381765","-73.97738662","40.7381765,-73.97738662","28997"
"40.739323","-74.008119","40.739323,-74.008119","48417"
"40.7403432","-73.98955109","40.7403432,-73.98955109","67497"
"40.74718234","-73.9432635","40.74718234,-73.9432635","3333"
"40.75019995","-73.99093085","40.75019995,-73.99093085","45575"
"40.75022392","-73.97121414","40.75022392,-73.97121414","13737"
"40.75110165","-73.94073717","40.75110165,-73.94073717","5725"
"40.751581","-73.97791","40.751581,-73.97791","50675"
"40.75172632","-73.98753523","40.75172632,-73.98753523","22011"
"40.75594159","-74.0021163","40.75594159,-74.0021163","21803"
"40.75660359","-73.9979009","40.75660359,-73.9979009","33443"
"40.75898481399634","-73.99379968643188","40.75898481399634,-73.99379968643188","4437"
"40.76228826","-73.98336183","40.76228826,-73.98336183","32548"
"40.76312584","-73.96526895","40.76312584,-73.96526895","7649"
"40.76350532","-73.97109243","40.76350532,-73.97109243","6912"
"40.76663814","-73.95348296","40.76663814,-73.95348296","11371"
"40.77122923","-73.96432627","40.77122923,-73.96432627","3974"
"40.77140426","-73.9535166","40.77140426,-73.9535166","10905"
"40.77517793","-73.95324922","40.77517793,-73.95324922","3107"
"40.77518615","-73.94446054","40.77518615,-73.94446054","1796"
"40.78524672","-73.97667321","40.78524672,-73.97667321","3715"
"40.6794268","-73.9298911","40.6794268,-73.9298911","1207"
"40.68216564","-73.95399026","40.68216564,-73.95399026","2955"
"40.686312","-73.935775","40.686312,-73.935775","1633"
"40.68764484","-73.96968902","40.68764484,-73.96968902","6187"
"40.68807003","-73.98410637","40.68807003,-73.98410637","8002"
"40.68864636","-73.98263429","40.68864636,-73.98263429","2283"
"40.6894932","-73.942061","40.6894932,-73.942061","1204"
"40.6900815","-73.947915","40.6900815,-73.947915","523"
"40.69681963","-73.93756926","40.69681963,-73.93756926","2182"
